"500","","","","","","","800
449","","","","","708","1600","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1403"
"","","","","","","","","","","","","643","","","","","","","","1288"
"","","","","","","373","","","","","","","","","","","","","",""
"375","","","","","","","600
328","","","","","545","1200","","","","","","","1064"
"","","","","","","247","","","","","371","","","","","","","","",""
"Latency (ms)
250","","","","","","","400","","","","","","800","","","","","660","655",""
"","","","177","","168","","","","","","296","","","","","","","","",""
"","151","","","","","138","","","","237","223","","","","","","","","458",""
"","","","","","","","","190","","","","","","","","343","388","","",""
"125","","","82","","","","200","","153","","","","400","276","","","","","",""
"","","","","74","","","","","","112","","","","190","","","","228","",""
"","43","45","","","","","","84","63","","","","","","136","","","","",""
"0","","","","","","","0","","","","","","0","","","","","","",""
"","128","","256","","","512","1024","128","","256","512","1024","","128","","","256","","512","1024"
"","","","","","","15.6","","","","","","28.5","","","","","","","",""
"16","","","","","","","30","","","","","","70","","","","","","","63.1"
"","","","","","13.7","","","","24.9","","25.9","","","","","","","59.0","",""
"","12.7","","13.0","","","","","24.4","","","","","","56.6","","57.3","","","",""
"12","","","","","","","23","","","","","","53","","","","","","",""
"","","","","","","","9.6","","","","","","","","","","","","",""
"","","","","","","","8.7","","","","","16.9","","","","","","","",""
"","","","","","","7.8","","","","","","15.5","","","","","","","","35.7"
"","","","7.1","","","7.2","","","","","14.3
13.6","","","","","","","","31.6","33.3"
"Memory (GB)
8","6.8","6.6","","6.8","","","15","12.8","12.6","13.3
12.9","","","35","29.1","28.9","","30.0","29.3","30.4",""
"4","","","","","","","8","","","","","","18","","","","","","",""
"0","","","","","","","0","","","","","","0","","","","","","",""
