"","","","","",""
"","","","Male not gotcha","",""
"","","","","",""
"","","","Female gotcha","",""
"","","","","",""
"","","","Female not gotcha","",""
"","Table 10 | Winogender results. Left: Chinchilla consistently resolves pronouns better than Gopher.","","","",""
"","Right: Chinchilla performs better on examples which contradict gender stereotypes (gotcha examples).","","","",""
"","However, diﬀerence in performance across groups suggests Chinchilla exhibits bias.","","","",""
"","whether the same holds true for a lower LM loss achieved via more compute-optimal training. Similar","","","",""
"","to the protocol of Rae et al. (2021), we generate 25,000 unprompted samples from Chinchilla, and","","","",""
"","compare their PerspectiveAPI toxicity score distribution to that of Gopher-generated samples. Several","","","",""
"","summary statistics indicate an absence of major diﬀerences: the mean (median) toxicity score for","","","",""
"","Gopher is 0.081 (0.064), compared to 0.087 (0.066) for Chinchilla, and the 95th percentile scores","","","",""
"","are 0.230 for Gopher, compared to 0.238 for Chinchilla. That is, the large majority of generated","","","",""
"","samples are classiﬁed as non-toxic, and the diﬀerence between the models is negligible.","","","","In line with"
"","prior ﬁndings (Rae et al., 2021), this suggests that toxicity levels in unconditional text generation","","","",""
"","are largely independent of the model quality (measured in language modelling loss), i.e. that better","","","",""
"","models of the training dataset are not necessarily more toxic.","","","",""
"","5. Discussion & Conclusion","","","",""
"","The trend so far in large language model training has been to increase the model size, often without","","","",""
"increasing the number of","","training tokens. The largest dense transformer, MT-NLG 530B,","","","is now"
"","over 3× larger than GPT-3’s 170 billion parameters from just two years ago. However, this model,","","","",""
"","as well as the majority of existing large models, have all been trained for a comparable number","","","",""
"","of tokens—around 300 billion. While the desire to train these mega-models has led to substantial","","","",""
"","engineering innovation, we hypothesize that the race to train larger and larger models is resulting in","","","",""
"","models that are substantially underperforming compared to what could be achieved with the same","","","",""
"compute budget.","","","","",""
"","We propose three predictive approaches towards optimally setting model size and training dura-","","","",""
"","tion, based on the outcome of over 400 training runs. All three approaches predict that Gopher is","","","",""
"","substantially over-sized and estimate that for the same compute budget a smaller model trained on","","","",""
"","more data will perform better. We directly test this hypothesis by training Chinchilla, a 70B parameter","","","",""
"","","","","",""
"","","it outperforms Gopher and even larger models on nearly every measured","","",""
"evaluation task.","","","","",""
"","Whilst our method allows us to make predictions on how to scale large models when given","","","",""
"","additional compute, there are several limitations. Due to the cost of training large models, we only","","","",""
"","","","","",""
"","","","large scale (Chinchilla and Gopher), and we do not have","",""
"","additional tests at intermediate scales. Furthermore, we assume that the eﬃcient computational","","","",""
"","frontier can be described by a power-law relationship between the compute budget, model size, and","","","",""
"","number of training tokens. However, we observe some concavity in log (cid:0)𝑁𝑜𝑝𝑡(cid:1) at high compute budgets","","","",""
"(see Appendix E). This suggests that we may still be overestimating the optimal size of large models.","","","","",""
"","Finally, the training runs for our analysis have all been trained on less than an epoch of data; future","","","",""
"","work may consider the multiple epoch regime. Despite these limitations, the comparison of Chinchilla","","","",""
"","to Gopher validates our performance predictions, that have thus enabled training a better (and more","","","",""
