"","• Language modelling on LAMBADA, Wikitext103 (Mer-","","","","","",""
"","ity et al., 2017), C4 (Raﬀel et al., 2020a), PG-19 (Rae","","","","","",""
"","et al., 2020) and the Pile (Gao et al., 2020).","","","","","",""
"• Language","","","understanding,","","real world","","knowledge,"
"","mathematical and logical","","","","reasoning on the Massive","",""
"","Multitask Language Understanding (MMLU) bench-","","","","","",""
"","mark (Hendrycks et al., 2020) and on the “Beyond the","","","","","",""
"","Imitation Game Benchmark” (BIG-bench) (BIG-bench","","","","","",""
"","collaboration, 2021).","","","","","",""
"• Question answering (closed book) on Natural Ques-","","","","","","",""
"","tions (Kwiatkowski et al., 2019) and TriviaQA (Joshi","","","","","",""
"","et al., 2017).","","","","","",""
"• Reading comprehension on RACE (Lai et al., 2017)","","","","","","",""
"• Common sense understanding on HellaSwag (Zellers","","","","","","",""
"et","al.,","2019),","PIQA","(Bisk","et","al.,","2020), Wino-"
"","grande (Sakaguchi et al., 2020), SIQA (Sap et al., 2019),","","","","","",""
"","BoolQ (Clark et al., 2019), and TruthfulQA (Lin et al.,","","","","","",""
"","2021).","","","","","",""
