"","Published as a conference paper at ICLR 2025","","","","",""
"B","MCTS DETAILS","","","","",""
"","In this section, we present additional background on the Monte Carlo Tree Search (MCTS) algo-","","","","",""
"","rithm. The MCTS process can be formulated as the following steps:","","","","",""
"Selection.","The process begins at","","the root node. Here,","the algorithm recursively selects the child","",""
"node that offers the highest Upper Confidence Bound applied to Trees (UCT) value, continuing until","","","","","",""
"a node is reached that has not been expanded. The UCT is calculated using the formula","","","","","",""
"","","","(cid:115)","","",""
"","","","","ln (N (Parent(s)))","",""
"","","U CT (s) = Q(s) + C","","","",","
"","","","","N (s)","",""
"","where Q(s) denotes the quality score of node s, N (s) is the number of visits to node s, Parent(s)","","","","",""
"","denotes the parent node of s, and C is a constant determining the level of exploration.","","","","",""
"","Expansion and evaluation.","","Upon reaching a non-terminal node s,","","","the node is expanded by gen-"
"","erating multiple child nodes. Each child node c is then evaluated using a value function V (c), which","","","","",""
"","predicts the potential quality of continuing the sequence from node c.","","","","",""
"Backpropagation.","","After evaluation,","the algorithm updates the UCT values and the visit counts","","",""
"","for all nodes along the path from the selected node back to the root. For any node n in this path, the","","","","",""
"","updates are made as follows:","","","","",""
"","","N (n) ← N (n) + 1,","","","",""
"","","","(N (n) − 1) Q(n) + V (s)","","",""
"","","Q(n) ←","","",".",""
"","","","N (n)","","",""
"","","","18","","",""
