"3 shows an example of routing with diﬀerent expert capacity factors.","","","","","",""
"Terminology","","(Capacity Factor: 1.0)","","","(Capacity Factor: 1.5)",""
"","Expert 1","Expert 2","Expert 3","Expert 1","Expert 2","Expert 3"
"Experts: Split across devices,","","","","","",""
"each having their own unique","Device 0","Device 1","Device 2","Device 0","Device 1","Device 2"
"parameters. Perform standard feed-","","","","","",""
"forward computation.","","","","","",""
"Expert Capacity: Batch size of","","","","","",""
"each expert. Calculated as","","","","","",""
"(tokens_per_batch / num_experts) *","","","","","",""
"","","","","","","Across Device"
"capacity_factor","","","","","",""
"","","","","","","Communication"
"Capacity Factor: Used when","","","","","",""
"calculating expert capacity. Expert","","","","","",""
"capacity allows more buffer to help","","","","","",""
"mitigate token overﬂow during","","","","","",""
"","","Device 0","","","Device 0",""
"routing.","","","","","",""
"","","Tokens","","","Tokens",""
