"weights for each incoming example.","","","","","","","",""
"","","1e","","","","1.2","",""
"","6.0","","","","","","","Switch-Base: 128e"
"","","","2e","","","","","Switch-Base: 64e"
"","","","","","","1.3","",""
"","","","","","","","","Switch-Base: 32e"
"","5.8","","","","","","","Switch-Base: 16e"
"","","","4e","","","1.4","","T5-Base"
"","5.6","","","","","1.5","",""
"","","","","8e","","","",""
"Test Loss","","","","","","Neg Log Perplexity
1.6","",""
"","5.4","","","","","","",""
"","","","","16e","","","",""
"","","","","","","1.7","",""
"","5.2","","","","","","",""
"","","","","32e","","","",""
"","","","","","","1.8","",""
"","","","","","64e","","",""
"","5.0","","","","","","",""
"","","","","","128e","1.9","",""
"","","","","","256e","","",""
"","4.8","","","","","2.0","",""
"","","","","109","1010","","0","1"
"","","","","Sparse Model Parameters","","","",""
