"","","Router","","","","",""
"","","","","","Tokens","",""
"","","Probabilities","","","","",""
"Figure 11: Diagram of the No-Token-Left-Behind Routing. Stage 1 is equivalent to Switch","","","","","","",""
"","routing where tokens are routed to the expert with the highest probability from","","","","","",""
"","the router.","In Stage 2 we look at all tokens that have overﬂowed and route them","","","","",""
"","to the expert with which has the second highest probability. Tokens can still be","","","","","",""
"","overﬂowed if their second highest expert has too many tokens, but this allows","","","","","",""
"most of","the","tokens","to be","routed.","This process","can be","iterated to guarantee"
"","virtually no tokens are dropped at all.","","","","","",""
