"tasks as one probes the model’s reasoning and the other factual knowledge.","","","","","","","","","","",""
"","","","","","","50","","","","",""
"90","","","","","","","","","","",""
"","","","","","","40","","","","",""
"85","","","","","","","","","","",""
"SuperGLUE Score
80","","","","","","TriviaQA Score
30","","","","",""
"75","","","","","","","","","","",""
"","","","","","","20","","","","",""
"70","","","","","SOTA","","","","","","SOTA"
"","","","","","Dense","","","","","","Dense"
"","","","","","","10","","","","",""
"","","","","","Switch","","","","","","Switch"
"65","","","","","","","","","","",""
"","1.7","1.6","1.5
1.4
1.3
1.2","1.1","1.0","","1.7","1.6","1.5
1.4
1.3
1.2","1.1","1.0"
"","","","C4 Neg. Log Perplexity","","","","","","C4 Neg. Log Perplexity","",""
