"Iteration N","Iteration N+1","","","","","","",""
"","","","","","15","","",""
"","","100","","","","","250",""
"","","","Memory","","","","","Decode Inference"
"","Preempted","","","","","","",""
"","","","","","","","","Preemption Loss"
"","request","80","","","","","200",""
"Request queue","Request queue","","","","10","","",""
"Preempt","","Memory Usage (%)
60","Average Memory: 62.84%","","","Preempted Ratio (%)
Per-token Latency (ms)","150",""
"Alloc","","40","","","","","100",""
"","","","","","5","","",""
"Alloc","","","","","","","",""
"","","20","","","","","",""
"","","","","","","","50",""
"GPU","GPU","","","Preempted","","","",""
"","","0","","","0","","",""
"","","","","","","","0",""
