"","","","","","","","","1"
"ABC, 2023, USA","","","","","Guanhua Wang*, Heyang Qin*, Sam Ade Jacobs, Connor Holmes, Samyam Rajbhandari and Olatunji Ruwase, Feng Yan","","",", Lei Yang"
"","","","","","","","",""
"Q","Reorder+Quant","","D","Dequant+Reduction+Quant","R","Dequant+Reduction","","Algorithm 2: Generalized tensor slice reordering (𝑞𝑔𝑍 )"
"","","","","","","","","Constants :𝑠𝑡𝑎𝑔𝑒𝑠, 𝑛𝑜𝑑𝑒𝑆𝑖𝑧𝑒, 𝑛𝑜𝑑𝑒𝑠"
"No Pipeline
Q","","Intra-node A2A","","D","Inter-node A2A","R","","Input
: 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛𝐼 𝐷"
"","","","","","","","","Output
:𝑚𝑎𝑝𝑝𝑒𝑑𝑃𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛𝐼 𝐷"
"","Data Chunk 1","","","","","","1","𝑡𝑜𝑡𝑎𝑙𝐷𝑒𝑣𝑖𝑐𝑒𝑠 ← 𝑛𝑜𝑑𝑒𝑆𝑖𝑧𝑒 ∗ 𝑛𝑜𝑑𝑒𝑠;"
"","","","","","","","",""
"Q","Intra-node 
D","","Inter-node A2A","R","","","2","𝑠𝑡𝑎𝑔𝑒𝐼 𝐷 ← 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛𝐼 𝐷 % 𝑡𝑜𝑡𝑎𝑙𝐷𝑒𝑣𝑖𝑐𝑒𝑠;"
"","A2A","","","","","","",""
"","","","","","","","","𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛𝐼 𝐷"
"","","","","","","Latency Reduction","3",";
𝑐ℎ𝑢𝑛𝑘𝐼𝐷 ←"
"2-Stage Pipeline","","","","","","","","𝑡𝑜𝑡𝑎𝑙𝐷𝑒𝑣𝑖𝑐𝑒𝑠"
"","","Data Chunk 2","","","","","",""
"","","","","","","","","4 𝑝𝑖𝑝𝑒𝑙𝑖𝑛𝑒𝑂 𝑓 𝑓 𝑠𝑒𝑡 ← 𝑠𝑡𝑎𝑔𝑒𝐼 𝐷 ∗ 𝑡𝑜𝑡𝑎𝑙𝐷𝑒𝑣𝑖𝑐𝑒𝑠;"
"","","Intra-node","","","","","",""
"","Q","","","D
Inter-node A2A
R","","","","𝑠𝑡𝑎𝑔𝑒𝐼 𝐷"
"","","A2A","","","","","",";"
"","","","","","","","5","𝑐ℎ𝑢𝑛𝑘𝑂 𝑓 𝑓 𝑠𝑒𝑡 ←"
"","","","","","","","","𝑛𝑜𝑑𝑒𝑆𝑖𝑧𝑒"
"","","","","","","","",""
"","","","","","","Time","6","𝑐ℎ𝑢𝑛𝑘𝐵𝑎𝑠𝑒 ← (𝑐ℎ𝑢𝑛𝑘𝐼 𝐷 % 𝑛𝑜𝑑𝑒𝑆𝑖𝑧𝑒) ∗ 𝑛𝑜𝑑𝑒𝑠;"
"","","","","","","","","7 Return: 𝑝𝑖𝑝𝑒𝑙𝑖𝑛𝑒𝑂 𝑓 𝑓 𝑠𝑒𝑡 + 𝑐ℎ𝑢𝑛𝑘𝐵𝑎𝑠𝑒 + 𝑐ℎ𝑢𝑛𝑘𝑂 𝑓 𝑓 𝑠𝑒𝑡;"
