"","where no training data is available and a typical",""
"","acceptance scheme to boost the acceptance rate",""
"","while maintaining generation quality. We evaluate",""
"*Equal","contribution","1Princeton University
2Together AI"
"","3University of Illinois Urbana-Champaign 4Carnegie Mellon Uni-",""
"","versity 5University of Connecticut. Correspondence to: Tianle Cai",""
"","<tianle.cai@princeton.edu>, Yuhong Li <leeyh@illinois.edu>.",""
"Proceedings of","the 41 st","International Conference on Machine"
"","Learning, Vienna, Austria. PMLR 235, 2024. Copyright 2024 by",""
"the author(s).","",""
