"","","MEDUSA: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads","","","","","",""
"Seq. Length","","","","","Number of Candidate Tokens","","",""
"","1","16","32","48","64","80","96","112"
"128","0.54 & 0.98","7.87 & 12.8","14.73 & 21.33","19.78 & 27.43","25.25 & 32.0","28.63 & 35.56","32.58 & 38.4","36.57 & 40.73"
"256","0.75 & 0.99","11.2 & 13.47","21.29 & 23.27","28.69 & 30.72","36.59 & 36.57","41.2 & 41.29","45.99 & 45.18","52.33 & 48.43"
"512","1.02 & 0.99","14.69 & 13.84","27.47 & 24.38","37.35 & 32.68","47.09 & 39.38","52.24 & 44.91","59.55 & 49.55","66.35 & 53.49"
"1024","1.24 & 0.99","17.42 & 14.03","32.15 & 24.98","43.89 & 33.76","54.8 & 40.96","60.19 & 46.97","68.28 & 52.07","75.45 & 56.44"
"2048","1.39 & 0.99","19.03 & 14.12","35.05 & 25.28","48.03 & 34.32","59.66 & 41.8","63.91 & 48.08","72.83 & 53.43","80.05 & 58.04"
"4096","1.48 & 0.99","19.8 & 14.17","36.59 & 25.44","50.4 & 34.61","62.29 & 42.23","65.84 & 48.65","74.86 & 54.13","82.06 & 58.87"
"8192","1.53 & 0.99","20.08 & 14.2","36.89 & 25.52","50.44 & 34.76","62.11 & 42.45","67.5 & 48.94","76.97 & 54.49","84.5 & 59.3"
