"","","","","Speedup on different categories for Vicuna-7B","","","","",""
"","Speedup on different model sizes","","","","","","","",""
"","","3.5","","","","","","",""
"","","","","","","","","","3.29x"
"2.83x","","","","","","","","",""
"","","","","","","","","3.01x",""
"120","","3.0","","","","","","",""
"","","","","","","2.72x","2.77x","",""
"","","","","","2.7x","","","",""
"2.18x","2.83x","","2.58x","2.58x","","","","",""
"100","","","","","","","","",""
"","","Speedup
2.5","","","","","","",""
"","2.33x","","","","","","","",""
"80","","","","","","","","",""
"Tokens per Second","","2.0","","","","","","",""
"60","","","","","","","","",""
"","","1.5","","","","","","",""
"40","","","","","","","","",""
"","w/o Medusa","","","","","","","",""
"20","Medusa-1","1.0","","","","","","",""
"","Medusa-2","","s","g","y","g","m","h","g"
"","","","e","n","a","n","","t","n"
"","","","i
t","i","l","i","e","a","i"
"","","","i","n","p","t
i","t","M","d"
"0","","","n","o","e","r","S","","o"
