"AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration","","","","","","","",""
"","","","Llama-2","","","","LLaMA",""
"PPL↓","","","","","","","",""
"","","7B","13B","70B","7B","13B","30B","65B"
"FP16","-","5.47","4.88","3.32","5.68","5.09","4.10","3.53"
"","RTN","6.66","5.52","3.98","7.01","5.88","4.88","4.24"
"INT3","GPTQ","6.43","5.48","3.88","8.81","5.66","4.88","4.17"
"g128","GPTQ-R","6.42","5.41","3.86","6.53","5.64","4.74","4.21"
"","AWQ","6.24","5.32","3.74","6.35","5.52","4.61","3.95"
"","RTN","5.73","4.98","3.46","5.96","5.25","4.23","3.67"
"INT4","GPTQ","5.69","4.98","3.42","6.22","5.23","4.24","3.66"
"g128","GPTQ-R","5.63","4.99","3.43","5.83","5.20","4.22","3.66"
"","AWQ","5.60","4.97","3.41","5.78","5.19","4.21","3.62"
