"average ∆","/∆","1","1.005","1.013","1.038","1.213","RTN","119.47","298.00","23.54","46.04","18.80"
"","","","","","","","1% FP16","16.91","13.69","11.39","10.43","9.85"
"′ ∆
average ∆","· 1","1","0.804","0.676","0.519","0.303","","","","","",""
"","s","","","","","","","","","","",""
"","","","","","","","s = 2","18.63","14.94","11.92","10.80","10.32"
"Wiki-2 PPL","","23.54","12.87","12.48","11.92","12.36","","","","","",""
"","","","","","","","AWQ","16.32","13.58","11.39","10.56","9.77"
"Table 2. Statistics when multiplying the 1% salient channels by","","","","","","","","","","","",""
"","","","","","","","","Table 3. AWQ protects salient weights and reduces quantization","","","",""
"s > 1.","Scaling up the salient channels significantly improves","","","","","","","","","","",""
"","","","","","","","","error by using a scaling-based method. It consistently outperforms","","","",""
"","the perplexity (23.54 to 11.92). As s goes larger, the percentage","","","","","","","","","","",""
"","","","","","","","","Round-to-nearest quantization (RTN) and achieves comparable","","","",""
"","of changed ∆ increases, and the error reduction rate for salient","","","","","","","","","","",""
"","","","","","","","","performance as mixed-precision (1% FP16) while being more","","","",""
"","channels also increases. However, the best perplexity is achieved","","","","","","","","","","",""
"","","","","","","","","hardware-friendly. We use 3-bit quantization with group size 128.","","","",""
"","at s = 2, since further increasing s will increase the quantization","","","","","","","","","","",""
"","error for non-salient channels.","","","","","","","","","","",""
