"","To describe our algorithm (Algorithm 1), we choose a particular instantiation of the function Fscore,","","","","","","","","","",""
"","i.e., the summation of that sets in the attention matrix.","","","","","","","","","",""
"","","","Children","laughed","and","played","in","the","sunny","park","."
"","","","Value","","","","","","","",""
"","","","","","","","","","1.4","1.5
0.5
0.6",""
"","","","Key","","","","","","","",""
"","","","","","","","","","","",""
"Algorithm 1 H2 Eviction Algorithm","","","0.2","0.1","0.1","0.6","","","1
0.1","0.9",""
"","","","","","","","","","0.1","0.5
0.4",""
"1: procedure H2_EVICTION(Q, K","Rn×d, k","N)","","","","","","","0.2","0.1
0.1
0.6",""
"","","","","Decoding Step 4","Query","","","","","",""
"","∈","∈","","","","","","","","",""
"2:","Let k denote the budget size of cache","","","","","","","","","",""
