"","k, by using the way we construct Si+1, then it is straightforward that","","","","","","","","","",""
"|
Si| ≤","","","","","","","","","","","|"
"Proof of Value Condition.","","","","","","","","","","",""
"fSi,i(Si+1)","fSi,i(Si+1)","","","ϵ0","","","","","","",""
"≥","","","−","","","","","","","",""
"","fSi,i(Si)","","ϵ0","","","","","","","",""
"≥","","−","","","","","","","","",""
"","(1
θ)","","fSi−1,i","1(Si)","","ϵ0","","","","",""
"≥","−
·","","","−","−","","","","","",""
"","","","","","","θ)i(1","","","","",""
"≥","(1
θ)
−
·","((1","−","1/e)(1","−","","−","i
ϵ0)
γ)iopti −
·","ϵ0
−","",""
"","","","","","","θ)i(1","","","","",""
"≥","(1
θ)
−
·","((1","−","1/e)(1","−","","−","i
γ)i+1opti+1 −","ϵ0)
·","−","ϵ0"
"","","","","","θ)i+1(1","","","","","",""
"≥","(1
1/e)
−","·","(1","−","","−","γ)i+1opti+1 −","(i + 1)","ϵ0.
·","",""
