"","• Let A⊤(B(x) + W 2)A be the Hessian of L(x)","","","","","","","","",""
"","","","Rn","","","Rn","","","",""
"","• Let W = diag(w)","","×","n. Let W 2","","×","n denote the matrix that i-th diagonal entry is","","",""
"","","∈","","","∈","","","","",""
"w2
i,i.","","","","","","","","","",""
"","• Let σmin(A) denote the minimum singular value of A.","","","","","","","","",""
"","• Let l > 0 denote a scalar.","","","","","","","","",""
"Then, we have","","","","","","","","","",""
"• Part 1. If all i","","[n], w2","","20 + l/σmin(A)2, then","","","","","",""
"","∈","","i ≥","","","","","","",""
"","","","","","","d2L","","","",""
"","","","","","","","l","","Id",""
"","","","","","","dx2 ⪰","","·","",""
"• Part 2 If all i","","[n], w2","200","","exp(R2) + l/σmin(A)2, then","","","","",""
"","∈","","i ≥","·","","","","","",""
"","(1","1/10)","","(B(x) + W 2)","","W 2","","","(1 + 1/10)","(B(x) + W 2)"
