"","","","","","Children
laughed
and
played
in","the","","sunny
park",".",""
"","","","","","Value","","","","",""
"","","","","","","","","1.4
1.5
0.5","0.6",""
"","","","","","Key","","","","",""
"","","","","","","","","","",""
"Algorithm 1 H2 Eviction Algorithm","","","","","0.2
0.1
0.1
0.6","","","1
0.1
0.9","",""
"","","","","","","","","0.1
0.5
0.4","",""
"1: procedure H2_EVICTION(Q, K","","N)
Rn×d, k","","","","","","0.2
0.1
0.1
0.6","",""
"","","","","","Query
Decoding Step 4","","","","",""
"","∈","∈","","","","","","","",""
"2:","Let k denote the budget size of cache","","","","","","","","",""
"3:","S0","","","","Children
laughed
and
played
in","the","","sunny
park",".","..."
"","← ∅","","","","","","","","",""
"4:","for i = 1
n do","","","","Value","","1.43","1.52
0.65
0.9","",""
"","→","","","","","","","","",""
"5:","if i
k then","","","","Key","","1","","",""
"","≤","","","","","","","","",""
"6:","i
Si
Si−1","","","","","","0.1","0.9","",""
"","","","","","","","","","",""
"","←
∪ {
}","","","","0.03
0.02
0.05","0.9","","","",""
"7:","else","","","","","","0.1","0.5
0.4","",""
"","","","","","","","","","",""
"8:","Di
(exp(Qi,∗(KSi−1 ,∗)⊤)","","1[i]\Si−1 )","1i","","","0.2","0.1
0.1
0.6
0.6
0.03 0.02 0.2 0.05 0.9","",""
"","","","","","Query","","","","",""
"","←","−","","·","Decoding Step 5","","","","",""
"9:","D−1
oi","(exp(Qi,∗(KSi−1,∗)⊤)","","","","","","","",""
"","i","","","1[i]\Si−1 )","","","","","",""
"","←
·","","−","","","","","","",""
"10:","Fscore(T ) := (cid:80)
s∈T os","","","","","","","","",""
"","","","","","","","","1.6
1.8
0.51
0.62","0.9",""
"11:","i
Gi
Si−1","","","","","","","","",""
"","←
∪ {
}","","","","","","","1","",""
"12:","u
arg max
Fscore(Si−1","i","v","","","","","0.1
0.9","",""
"","←
v∈Gi","∪ {
}\{","}}","","0.03
0.04
0.01
0.02","0.9","","0.1
0.5
0.4","",""
"","","","","","","","","","",""
"13:","i
)
u
Si
(Si−1","","","","","","","0.2
0.1
0.1
0.6","",""
"","","","","","Eviction w. Global Statistic","","","","",""
"","←
∪ {
}
\{
}","","","","","","","","",""
"14:","end if","","","","(infeasible)","","","0.03 0.04 0.01 0.02","0.9",""
"15:","end for","","","","","","","","",""
"16:","end procedure","","","","","","","","",""
"","","","","","","Figure 3: Illustration of Algorithm 1 during two","","","",""
