"a","","","Generalized soft bounds device model","","","","b","3FC MNIST training",""
"","","","","","","","100","",""
"","","Model (C2C and D2D):","Dev1,
Dev2,","Dev3,","Dev4","","","",""
"2","","","","","","","","",""
"","","","","","","","98","",""
"Weight
1","","","","","","","Test Accuracy [%]
96","",""
"","","","","","","","94","",""
"0","","","","","","","","",""
"","","","","","","","","","CMO/HfOx exp. array"
"","","","","","","","","","NSR down to 20%"
"","","","","","","","","AGAD",""
"","","","","","","","92","","Nstates up to 100"
"1","","","","","","","","","Symmetry (SPskew 50%)"
"","","","","","","","","SGD","FP-baseline"
"","","","","","","","90","",""
"","0","","800","1600","","2100","","20","40
60
80"
"","","","Pulse Number","","","","","","Epochs [a.u.]"
