"extracted 3D features align with the image and text features","[10]
Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina"
"of the same category. We also proposed using learnable vi-","Toutanova.
Bert:
Pre-training
of
deep
bidirectional"
"","arXiv preprint
transformers
for
language understanding."
"sual prompts to shift the rendered image distribution to that",""
"","arXiv:1810.04805, 2018."
"of the CLIP to get better representative image features from",""
"","[11] Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov,"
"the visual encoder. Through extensive analysis, we demon-",""
"","Dirk Weissenborn,
Xiaohua
Zhai,
Thomas Unterthiner,"
"strate the zero-shot capabilities of CG3D, which enables",""
"","Mostafa Dehghani, Matthias Minderer, Georg Heigold, Syl-"
"zero-shot 3D classiﬁcation, scene querying with natural lan-",""
"","vain Gelly, et al. An image is worth 16x16 words: Trans-"
"guage, and cross-modal retrieval. Furthermore, CG3D pro-",""
"","arXiv
preprint
formers
for
image
recognition
at
scale."
"vides strong initial weights when training 3D networks for",""
"","arXiv:2010.11929, 2020."
"downstream tasks.",""
"","[12] Haoqiang Fan, Hao Su, and Leonidas J Guibas. A point set"
"","generation network for 3d object reconstruction from a single"
"",""
"References","image.
In Proceedings of the IEEE conference on computer"
"","vision and pattern recognition, pages 605–613, 2017."
"[1] Mohamed Afham, Isuru Dissanayake, Dinithi Dissanayake,","[13]
Siqi Fan, Qiulei Dong, Fenghua Zhu, Yisheng Lv, Peijun Ye,"
"Amaya Dharmasiri, Kanchana Thilakarathna, and Ranga Ro-","and Fei-Yue Wang. Scf-net: Learning spatial contextual fea-"
"drigo. Crosspoint: Self-supervised cross-modal contrastive","tures for large-scale point cloud segmentation.
In Proceed-"
"learning for 3d point cloud understanding. In Proceedings of","ings of
the IEEE/CVF Conference on Computer Vision and"
"the IEEE/CVF Conference on Computer Vision and Pattern","Pattern Recognition, pages 14504–14513, 2021."
"Recognition, pages 9902–9912, 2022.","[14]
Jun Gao, Tianchang Shen, Zian Wang, Wenzheng Chen,"
"[2]
Jean-Baptiste Alayrac, Jeff Donahue, Pauline Luc, Antoine","Kangxue Yin, Daiqing Li, Or Litany, Zan Gojcic, and Sanja"
"Miech, Iain Barr, Yana Hasson, Karel Lenc, Arthur Mensch,","Fidler. Get3d: A generative model of high quality 3d tex-"
"Katie Millican, Malcolm Reynolds, et al.
Flamingo:
a vi-","tured shapes learned from images.
In Advances In Neural"
"arXiv preprint
sual
language model
for
few-shot
learning.","Information Processing Systems, 2022."
"arXiv:2204.14198, 2022.","[15]
Shashank Goel, Hritik Bansal,
Sumit Bhatia,
Ryan A"
"[3]
I. Armeni, A. Sax, A. R. Zamir, and S. Savarese.
Joint 2D-","Rossi, Vishwa Vinay, and Aditya Grover.
Cyclip: Cyclic"
"ArXiv","arXiv
preprint
contrastive
language-image
pretraining."
"3D-Semantic Data for Indoor Scene Understanding.",""
