"4","","","","","","",""
"Area-of-applicability threshold:","","","","","","",""
"","0.103787","","","","","",""
"As demonstrated, ww_area_of_applicability() natively accepts variable importance scores","","","","","","",""
"returned by the vip package (Greenwell and Boehmke 2020). The importance argument will","","","","","","",""
"","also accept any data frame with columns named term and estimate, containing (respectively)","","","","","",""
"","the variable name and importance estimate, allowing the use of any method for calculating","","","","","",""
"","variable importance scores.","","","","","",""
"Unlike","other","functions","in waywiser,","the","output","from ww_area_of_applicability() is","a"
"","custom class “ww_area_of_applicability” which inherits from the “hardhat_model” and","","","","","",""
"","“hardhat_scalar” classes from the hardhat package. This class can be thought of as being","","","","","",""
"","a model object,","like that","","returned by lm(), and as","","","such implements a predict() method"
"","for calculating DI and AOA for new observations. This function returns a tibble with two","","","","","",""
"","columns: di, containing DI values for each new observation, and aoa, a boolean indicating","","","","","",""
"","if the observation is within (TRUE) or outside of (FALSE) the AOA:","","","","","",""
