"","","","","",""
"Table 9:","(Ablations: Expressivity of Δ.)","","","",""
"","","","Table 10: (Ablations: SSM state dimension.) (Top) Constant 𝑩 and 𝑪 (Bottom) Selective","",""
"","The selection mechanism of Δ constructs it","","","",""
"","","","𝑩 and 𝑪. Increasing the SSM state dimension 𝑁 , which can be viewed as an expansion","",""
"with a projection of the input. Projecting it","","","","",""
"","","","factor on the dimension of the recurrent state, can significantly improve performance for","",""
"","even to dim. 1 provides a large increase in","","","",""
"","","","a negligible cost in parameters/FLOPs, but only when 𝑩 and 𝑪 are also selective. Size of","",""
"","performance; increasing it further provides","","","",""
"","","","Δ projection fixed to 64.","",""
"","further improvements at the cost of a mod-","","","",""
"","est increase in parameters. State size fixed","","","",""
"","","","State dimension 𝑁","Params (M)","Perplexity"
"to 𝑁 = 16.","","","","",""
"","","","1","367.1","9.88"
"Size of Δ proj.","Params (M)","Perplexity","2","367.4","9.86"
"","","","4","368.0","9.82"
"-","358.9","9.12","","",""
"","","","8","369.1","9.82"
"1","359.1","8.97","","",""
"","","","16","371.5","9.81"
"2","359.3","8.97","","",""
"4","359.7","8.91","1","367.1","9.73"
"8","360.5","8.83","2","367.4","9.40"
"16","362.1","8.84","4","368.0","9.09"
"32","365.2","8.80","8","369.1","8.84"
"64","371.5","8.71","16","371.5","8.71"
