"","","Loss vs Model and Dataset Size","","","","Loss vs Model Size and Training Steps","",""
"","","","","","4.4","","",""
"","4.5","","","","","","",""
"","","","","","4.0","","",""
"","","","Params","","","","108",""
"","4.0","","","","","","",""
"","","","708M","","3.6","","",""
"","","","302M","","","","",""
"","3.5","","","Loss","","","","Parameters (non-embed)"
"Loss","","","85M","","","","",""
"","","","","","3.2","","107",""
"","","","3M","","","","",""
"","","","25M","","","","",""
"","3.0","","","","","","",""
"","","","393.2K","","2.8","","",""
"","","","","","","","106",""
"","2.5","","","","","","",""
"","","","","","2.4","","",""
"","107","108
109
1010","","","","105
104","",""
