"","Data Size Bottleneck","","","","Overfitting","",""
"","","","","0.5","","",""
"4.5","","","","","","",""
"","","","Data Size","0.4","","","Data Size"
"4.0","","","1
21M","","","","21M"
"","","","43M","","","","43M"
"","","","","","","",""
"","","",")
86M","0.3","","","86M"
"3.5","","","","","","",""
"Test Loss","","","172M","","","","172M"
"","","","344M","","","","344M"
"","","","L/L(D=","0.2","","",""
"3.0","","","688M","","","","688M"
"","","","1.4B","","","","1.4B"
"","","","22.0B","0.1","","","22.0B"
"2.5","","","","","","",""
"","","","","0.0","","",""
"106","107
108","109","","10 4","10 3
10 2","10 1",""
"","Params (non-embed)","","","","N N/
D/D","",""
