"various ﬁxed values of the loss.","","","","","","",""
"","","","5.5","","","","5.5"
"","","","","1011","","",""
"105","","","","","","",""
"","","","5.0","","","","5.0"
"","","","4.5","1010","","","4.5"
"","","","4.0","","","","4.0"
"Minimum Steps (Smin)
104","","","Loss","Minimum Examples (Emin)","","","Loss"
"","","","","109","","",""
"","","","3.5","","","","3.5"
"","","","3.0","","","","3.0"
"103","","","","108","","",""
"","","","2.5","","","","2.5"
"106","107","108","","106","107","108",""
