"","","","","","","Test Loss","",""
"","","","","","","","1010",""
"","","","","","","Train Loss","",""
"","","Early Stopping Step","","","","","",""
"","","","","","5","","",""
"","","","Data Size","","","","",""
"","105","","","","","","109",""
"","","","21M","Loss","4","","","Dataset Size (Tokens)"
"","","","43M","","","","",""
"Sstop","","","86M","","","","",""
"","","","172M","","","","",""
"","104","","344M","","3","","",""
"","","","688M","","","","108",""
"","","","1.4B","","","","",""
"","","","","","2","","",""
"","103","","","","","","",""
