"","","Transformers asymptotically outperform LSTMs","","","LSTM plateaus after <100 tokens",""
"","","due to improved use of long contexts","","","Transformer improves through the whole context",""
"Test Loss","5.4","","Per-token","","",""
"","","","Test Loss","6","",""
"","4.8","","","","",""
"","4.2","LSTMs","","","",""
"","","","","4","",""
"","","","","","","Parameters:"
"","","","","","","400K"
"","3.6","","","","",""
"","","1 Layer","","","","400K"
"","","","","5","",""
"","","","","","","2M"
"","","2 Layers","","","",""
"","3.0","4 Layers","","","","3M"
"","","Transformers","","","",""
"","","","","3","","200M"
"","2.4","","","","","300M"
"","","","","2","",""
